# soak.py — pont Telegram (pont.py) — relance dans tmux apres mort du premier soak a 2h28
# debut_utc	2026-09-22T15:04:03Z
# duree_demandee_h	720.00
# fin_prevue_utc	2026-10-22T15:04:03Z
# machine	aarch64, 2 coeurs
# intervalle_s	60
# arbre	True (si faux et enfants>0, le chiffre peut etre au mauvais endroit)
# inotify_max_user_watches	93600
# NON MESURE : energie (pas de /sys/class/powercap, VPS partage) ; percentiles de latence (mes propres processus partagent les 2 coeurs)
horodatage_utc	seconde_ecoulee	pid	vivant	rss_ko	vsize_ko	fils	descripteurs	instances_inotify	cpu_ticks	redemarrages	enfants	charge_1min	note
2026-09-22T15:04:03Z	0	781853	1	18956	30244	1	4	0	6035	0	0	0.22	
2026-09-22T15:05:03Z	60	781853	1	18956	30244	1	4	0	6036	0	0	0.37	
2026-09-22T15:06:03Z	120	781853	1	18956	30244	1	4	0	6037	0	0	0.14	
2026-09-22T15:07:03Z	180	781853	1	18956	30244	1	4	0	6037	0	0	0.15	
2026-09-22T15:08:03Z	240	781853	1	18956	30244	1	4	0	6038	0	0	0.14	
2026-09-22T15:09:03Z	300	781853	1	18956	30244	1	4	0	6038	0	0	0.05	
2026-09-22T15:10:03Z	360	781853	1	18956	30244	1	4	0	6038	0	0	0.02	
2026-09-22T15:11:03Z	420	781853	1	18956	30244	1	4	0	6039	0	0	0.04	
2026-09-22T15:12:03Z	480	781853	1	18956	30244	1	4	0	6040	0	0	0.01	
2026-09-22T15:13:03Z	540	781853	1	18956	30244	1	4	0	6040	0	0	0.08	
2026-09-22T15:14:03Z	600	781853	1	18956	30244	1	4	0	6040	0	0	0.08	
2026-09-22T15:15:03Z	660	781853	1	18956	30244	1	4	0	6041	0	0	0.03	
2026-09-22T15:16:03Z	720	781853	1	18956	30244	1	4	0	6041	0	0	0.05	
2026-09-22T15:17:03Z	780	781853	1	18956	30244	1	4	0	6042	0	0	0.24	
2026-09-22T15:18:03Z	840	781853	1	18956	30244	1	4	0	6043	0	0	0.08	
2026-09-22T15:19:03Z	900	781853	1	18956	30244	1	4	0	6043	0	0	0.11	
2026-09-22T15:20:03Z	960	781853	1	18956	30244	1	4	0	6044	0	0	0.11	
2026-09-22T15:21:03Z	1020	781853	1	18956	30244	1	4	0	6044	0	0	0.04	
2026-09-22T15:22:03Z	1080	781853	1	18956	30244	1	4	0	6044	0	0	0.01	
2026-09-22T15:23:03Z	1140	781853	1	18956	30244	1	4	0	6045	0	0	0.00	
2026-09-22T15:24:03Z	1200	781853	1	18956	30244	1	4	0	6045	0	0	0.00	
2026-09-22T15:25:03Z	1260	781853	1	18956	30244	1	4	0	6045	0	0	0.00	
2026-09-22T15:26:03Z	1320	781853	1	18956	30244	1	4	0	6046	0	0	0.00	
