# soak.py — pont Telegram (pont.py), premiere instance publique du harnais
# debut_utc	2026-09-22T12:05:24Z
# machine	aarch64, 2 coeurs
# intervalle_s	60
# arbre	True (si faux et enfants>0, le chiffre peut etre au mauvais endroit)
# inotify_max_user_watches	93600
# NON MESURE : energie (pas de /sys/class/powercap, VPS partage) ; percentiles de latence (mes propres processus partagent les 2 coeurs)
horodatage_utc	seconde_ecoulee	pid	vivant	rss_ko	vsize_ko	fils	descripteurs	instances_inotify	cpu_ticks	redemarrages	enfants	charge_1min	note
2026-09-22T12:05:24Z	0	781853	1	20904	30244	1	4	0	5634	0	0	0.22	
2026-09-22T12:06:24Z	60	781853	1	20904	30244	1	4	0	5634	0	0	0.21	
2026-09-22T12:07:24Z	120	781853	1	20904	30244	1	4	0	5634	0	0	0.08	
2026-09-22T12:08:24Z	180	781853	1	20904	30244	1	4	0	5634	0	0	0.03	
2026-09-22T12:09:24Z	240	781853	1	20904	30244	1	4	0	5635	0	0	0.01	
2026-09-22T12:10:24Z	300	781853	1	20904	30244	1	4	0	5635	0	0	0.03	
2026-09-22T12:11:24Z	360	781853	1	20904	30244	1	4	0	5635	0	0	0.01	
2026-09-22T12:12:24Z	420	781853	1	20904	30244	1	4	0	5636	0	0	0.00	
2026-09-22T12:13:24Z	480	781853	1	20904	30244	1	4	0	5636	0	0	0.00	
2026-09-22T12:14:24Z	540	781853	1	20904	30244	1	4	0	5637	0	0	0.14	
2026-09-22T12:15:24Z	600	781853	1	20904	30244	1	4	0	5638	0	0	0.12	
2026-09-22T12:16:24Z	660	781853	1	20904	30244	1	4	0	5638	0	0	0.08	
2026-09-22T12:17:24Z	720	781853	1	20904	30244	1	4	0	5638	0	0	0.03	
2026-09-22T12:18:24Z	780	781853	1	20904	30244	1	4	0	5638	0	0	0.01	
2026-09-22T12:19:24Z	840	781853	1	20904	30244	1	4	0	5639	0	0	0.00	
2026-09-22T12:20:24Z	900	781853	1	20904	30244	1	4	0	5639	0	0	0.00	
2026-09-22T12:21:24Z	960	781853	1	20904	30244	1	4	0	5640	0	0	0.00	
2026-09-22T12:22:24Z	1020	781853	1	20904	30244	1	4	0	5641	0	0	0.00	
2026-09-22T12:23:24Z	1080	781853	1	20904	30244	1	4	0	5641	0	0	0.00	
2026-09-22T12:24:24Z	1140	781853	1	20904	30244	1	4	0	5642	0	0	0.00	
2026-09-22T12:25:24Z	1200	781853	1	20904	30244	1	4	0	5642	0	0	0.00	
2026-09-22T12:26:24Z	1260	781853	1	20904	30244	1	4	0	5642	0	0	0.00	
2026-09-22T12:27:24Z	1320	781853	1	20904	30244	1	4	0	5643	0	0	0.00	
2026-09-22T12:28:24Z	1380	781853	1	20904	30244	1	4	0	5643	0	0	0.00	
2026-09-22T12:29:24Z	1440	781853	1	20904	30244	1	4	0	5643	0	0	0.00	
2026-09-22T12:30:24Z	1500	781853	1	20904	30244	1	4	0	5644	0	0	0.00	
2026-09-22T12:31:24Z	1560	781853	1	20904	30244	1	4	0	5644	0	0	0.00	
2026-09-22T12:32:24Z	1620	781853	1	20904	30244	1	4	0	5644	0	0	0.05	
2026-09-22T12:33:24Z	1680	781853	1	20904	30244	1	4	0	5644	0	0	0.02	
2026-09-22T12:34:24Z	1740	781853	1	20904	30244	1	4	0	5646	0	0	0.00	
2026-09-22T12:35:24Z	1800	781853	1	20904	30244	1	4	0	5646	0	0	0.00	
2026-09-22T12:36:24Z	1860	781853	1	20904	30244	1	4	0	5646	0	0	0.06	
2026-09-22T12:37:24Z	1920	781853	1	20904	30244	1	4	0	5647	0	0	0.16	
2026-09-22T12:38:24Z	1980	781853	1	20904	30244	1	4	0	5647	0	0	0.06	
